p,rho_a,system,variant,N,M1_MCC,M1_ACC,elapsed_s,status
0,20,b2_vcbc,1,20,0.00,93.75,275.2,ok
0,0,shieldgh_lite,1,20,0.00,96.25,276.2,ok
0,0,b3_rf,1,20,0.00,97.68,279.3,ok
0,0,b2_vcbc,1,20,0.00,93.75,279.6,ok
0,20,b1_malik,1,20,0.00,96.61,293.0,ok
0,20,b3_rf,1,20,0.00,96.25,294.8,ok
0,40,shieldgh_lite,1,20,0.00,96.25,299.3,ok
0,40,shieldgh_full,1,20,0.00,93.04,300.6,ok
0,20,shieldgh_full,1,20,0.00,93.04,301.4,ok
0,0,shieldgh_full,1,20,0.00,93.21,317.0,ok
0,20,shieldgh_lite,1,20,0.00,96.25,318.2,ok
0,0,b1_malik,1,20,0.00,96.61,324.7,ok
0,60,b3_rf,1,20,0.00,96.25,263.9,ok
0,60,shieldgh_lite,1,20,0.00,96.25,273.6,ok
0,40,b3_rf,1,20,0.00,96.25,291.7,ok
0,40,b2_vcbc,1,20,0.00,93.75,295.6,ok
0,40,b1_malik,1,20,0.00,96.25,303.6,ok
0,80,shieldgh_lite,1,20,0.00,96.25,284.7,ok
0,60,b2_vcbc,1,20,0.00,94.64,304.0,ok
0,80,b2_vcbc,1,20,0.00,93.75,288.7,ok
0,60,shieldgh_full,1,20,0.00,92.50,335.7,ok
0,60,b1_malik,1,20,0.00,96.61,324.6,ok
0,80,b1_malik,1,20,0.00,96.61,320.5,ok
0,80,shieldgh_full,1,20,0.00,93.39,361.8,ok
0,80,b3_rf,1,20,0.00,96.25,282.3,ok
0,100,shieldgh_lite,1,20,0.00,96.25,291.8,ok
20,0,shieldgh_lite,1,20,-0.03,81.79,268.5,ok
0,100,b1_malik,1,20,0.00,96.61,325.7,ok
0,100,b3_rf,1,20,0.00,96.25,303.2,ok
0,100,b2_vcbc,1,20,0.00,93.75,328.2,ok
20,0,b2_vcbc,1,20,0.00,79.46,291.5,ok
20,0,b3_rf,1,20,-0.06,80.18,277.0,ok
20,0,b1_malik,1,20,-0.06,80.54,321.8,ok
