ablation,arm,xname,x,seed,M1_MCC,M1_ACC,CP_MCC,TP,TN,FP,FN,elapsed_s,status
A1,ablated,speed_kmh,60,1,0.84,92.19,1.00,38,80,0,10,49.4,ok
A1,control,speed_kmh,120,1,0.80,90.62,1.00,39,77,3,9,49.4,ok
A1,control,speed_kmh,60,1,0.85,92.97,1.00,39,80,0,9,50.8,ok
A1,ablated,speed_kmh,90,1,0.85,92.97,1.00,39,80,0,9,51.6,ok
A1,control,speed_kmh,30,1,0.84,92.19,1.00,38,80,0,10,52.2,ok
A1,ablated,speed_kmh,120,1,0.80,90.62,1.00,39,77,3,9,52.8,ok
A1,ablated,speed_kmh,30,1,0.84,92.19,1.00,38,80,0,10,53.4,ok
A1,control,speed_kmh,90,1,0.80,90.62,1.00,39,77,3,9,59.3,ok
A4,control,drop_rate_pct,10,1,0.17,64.84,1.00,6,77,3,42,47.2,ok
A1,control,speed_kmh,150,1,0.85,92.97,1.00,39,80,0,9,50.3,ok
A1,ablated,speed_kmh,150,1,0.85,92.97,1.00,39,80,0,9,50.6,ok
A4,ablated,drop_rate_pct,10,1,0.17,64.84,1.00,6,77,3,42,51.0,ok
A4,control,drop_rate_pct,20,1,0.51,77.34,1.00,22,77,3,26,51.9,ok
A4,ablated,drop_rate_pct,20,1,0.50,76.56,1.00,21,77,3,27,51.9,ok
A4,ablated,drop_rate_pct,30,1,0.81,90.62,1.00,36,80,0,12,49.9,ok
A4,control,drop_rate_pct,30,1,0.79,89.84,1.00,35,80,0,13,56.2,ok
A7,control,drop_rate_pct,10,1,0.17,64.84,1.00,6,77,3,42,47.0,ok
A4,control,drop_rate_pct,40,1,0.80,90.62,1.00,37,79,1,11,50.7,ok
A7,ablated,drop_rate_pct,10,1,0.17,64.84,1.00,6,77,3,42,46.9,ok
A4,ablated,drop_rate_pct,40,1,0.84,92.19,1.00,38,80,0,10,54.3,ok
A7,ablated,drop_rate_pct,30,1,0.81,90.62,1.00,36,80,0,12,52.4,ok
A7,control,drop_rate_pct,30,1,0.81,90.62,1.00,36,80,0,12,54.9,ok
A7,ablated,drop_rate_pct,50,1,0.84,92.19,1.00,38,80,0,10,50.6,ok
A7,control,drop_rate_pct,50,1,0.84,92.19,1.00,38,80,0,10,54.1,ok
A7,control,drop_rate_pct,70,1,0.84,92.19,1.00,38,80,0,10,48.6,ok
A12,control,n_controllers,1,1,0.80,90.62,0.00,39,77,3,9,48.7,ok
A7,ablated,drop_rate_pct,70,1,0.84,92.19,1.00,38,80,0,10,52.1,ok
A12,control,n_controllers,2,1,0.80,90.62,1.00,39,77,3,9,51.1,ok
SIG,control,drop_rate_pct,10,1,0.17,64.84,1.00,6,77,3,42,46.6,ok
A12,control,n_controllers,4,1,0.80,90.62,1.00,39,77,3,9,50.7,ok
SIG,ablated,drop_rate_pct,10,1,0.00,62.50,1.00,0,80,0,48,50.6,ok
A12,control,n_controllers,8,1,0.80,90.62,1.00,39,77,3,9,63.6,ok
SIG,ablated,drop_rate_pct,30,1,0.00,62.50,1.00,0,80,0,48,48.3,ok
SIG,control,drop_rate_pct,30,1,0.81,90.62,1.00,36,80,0,12,52.9,ok
SIG,control,drop_rate_pct,50,1,0.84,92.19,1.00,38,80,0,10,49.8,ok
SIG,control,drop_rate_pct,70,1,0.84,92.19,1.00,38,80,0,10,48.2,ok
SIG,ablated,drop_rate_pct,50,1,0.00,62.50,1.00,0,80,0,48,50.0,ok
SIG,ablated,drop_rate_pct,70,1,0.00,62.50,1.00,0,80,0,48,48.1,ok
