flag,value,MCC,TP,TN,FP,FN,ACC_pct,FPR_pct,wall_s
sg_W,5,1.0000,56,56,0,0,100.00,0.00,52.5
sg_W,10,1.0000,56,56,0,0,100.00,0.00,54.9
sg_W,20,1.0000,56,56,0,0,100.00,0.00,56.5
sg_tau_f,0.5,0.9800,55,56,0,1,99.11,0.00,53.3
sg_tau_f,0.6,1.0000,56,56,0,0,100.00,0.00,54.7
sg_tau_f,0.7,1.0000,56,56,0,0,100.00,0.00,54.8
sg_eps_f,0.1,1.0000,56,56,0,0,100.00,0.00,56.7
sg_eps_f,0.2,1.0000,56,56,0,0,100.00,0.00,56.7
sg_eps_f,0.3,1.0000,56,56,0,0,100.00,0.00,54.9
sg_tau_it,0.6,1.0000,56,56,0,0,100.00,0.00,54.4
sg_tau_it,0.7,1.0000,56,56,0,0,100.00,0.00,55.5
sg_tau_it,0.8,1.0000,56,56,0,0,100.00,0.00,55.6
sg_gamma_it,1.1,1.0000,56,56,0,0,100.00,0.00,56.3
sg_gamma_it,1.3,1.0000,56,56,0,0,100.00,0.00,54.2
sg_gamma_it,1.5,1.0000,56,56,0,0,100.00,0.00,54.2
sg_tau_ts,0.3,1.0000,56,56,0,0,100.00,0.00,54.7
sg_tau_ts,0.5,1.0000,56,56,0,0,100.00,0.00,55.7
sg_tau_ts,0.7,1.0000,56,56,0,0,100.00,0.00,55.4
sg_theta_R,0.3,1.0000,56,56,0,0,100.00,0.00,53.8
sg_theta_R,0.4,1.0000,56,56,0,0,100.00,0.00,54.0
sg_theta_R,0.5,1.0000,56,56,0,0,100.00,0.00,54.2
