flag,value,MCC,TP,TN,FP,FN,ACC_pct,FPR_pct,wall_s
sg_W,5,1.0000,26,26,0,0,100.00,0.00,22.2
sg_W,10,1.0000,26,26,0,0,100.00,0.00,22.7
sg_W,20,1.0000,26,26,0,0,100.00,0.00,22.3
sg_tau_f,0.5,0.9300,24,26,0,2,96.15,0.00,22.5
sg_tau_f,0.6,1.0000,26,26,0,0,100.00,0.00,22.4
sg_tau_f,0.7,1.0000,26,26,0,0,100.00,0.00,22.7
sg_eps_f,0.1,1.0000,26,26,0,0,100.00,0.00,22.7
sg_eps_f,0.2,1.0000,26,26,0,0,100.00,0.00,22.7
sg_eps_f,0.3,1.0000,26,26,0,0,100.00,0.00,22.7
sg_tau_it,0.6,1.0000,26,26,0,0,100.00,0.00,22.6
sg_tau_it,0.7,1.0000,26,26,0,0,100.00,0.00,22.8
sg_tau_it,0.8,1.0000,26,26,0,0,100.00,0.00,22.7
sg_gamma_it,1.1,1.0000,26,26,0,0,100.00,0.00,22.9
sg_gamma_it,1.3,1.0000,26,26,0,0,100.00,0.00,22.4
sg_gamma_it,1.5,1.0000,26,26,0,0,100.00,0.00,22.6
sg_tau_ts,0.3,1.0000,26,26,0,0,100.00,0.00,22.4
sg_tau_ts,0.5,1.0000,26,26,0,0,100.00,0.00,22.8
sg_tau_ts,0.7,1.0000,26,26,0,0,100.00,0.00,22.1
sg_theta_R,0.3,1.0000,26,26,0,0,100.00,0.00,22.3
sg_theta_R,0.4,1.0000,26,26,0,0,100.00,0.00,22.5
sg_theta_R,0.5,1.0000,26,26,0,0,100.00,0.00,22.5
