sweep,param_value,TP,TN,FP,FN,MCC,ACC,TPR,FPR,FIR,mean_score,mean_latency_ms
drop_rate_pct,10,0,100,0,100,0.0000,0.5000,0.0000,0.0000,0.0000,0.2694,0.3036
drop_rate_pct,20,0,100,0,100,0.0000,0.5000,0.0000,0.0000,0.0000,0.2698,0.1497
drop_rate_pct,30,7,100,0,93,0.1904,0.5350,0.0700,0.0000,0.0000,0.2926,0.0940
drop_rate_pct,40,19,100,0,81,0.3240,0.5950,0.1900,0.0000,0.0000,0.3318,0.0942
drop_rate_pct,50,54,100,0,46,0.6082,0.7700,0.5400,0.0000,0.0000,0.4455,0.0935
drop_rate_pct,60,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5952,0.0959
drop_rate_pct,70,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5952,0.0953
drop_rate_pct,80,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5953,0.0957
drop_rate_pct,90,29,100,0,71,0.4118,0.6450,0.2900,0.0000,0.0000,0.3643,0.0957
theta_det,0.1,100,0,100,0,0.0000,0.5000,1.0000,1.0000,1.0000,0.5952,0.0971
theta_det,0.2,100,0,100,0,0.0000,0.5000,1.0000,1.0000,1.0000,0.5953,0.0962
theta_det,0.3,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5953,0.0965
theta_det,0.4,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5953,0.0958
theta_det,0.5,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5952,0.0953
theta_det,0.6,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5952,0.0952
theta_det,0.7,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5953,0.0958
theta_det,0.8,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5952,0.1052
theta_det,0.9,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5951,0.0955
mu1_rule_weight,0.0,100,0,100,0,0.0000,0.5000,1.0000,1.0000,1.0000,0.8316,0.0956
mu1_rule_weight,0.1,100,0,100,0,0.0000,0.5000,1.0000,1.0000,1.0000,0.7951,0.0955
mu1_rule_weight,0.2,100,0,100,0,0.0000,0.5000,1.0000,1.0000,1.0000,0.7586,0.0956
mu1_rule_weight,0.3,100,0,100,0,0.0000,0.5000,1.0000,1.0000,1.0000,0.7224,0.0963
mu1_rule_weight,0.4,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.6861,0.0962
mu1_rule_weight,0.5,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.6498,0.0963
mu1_rule_weight,0.6,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.6133,0.0958
mu1_rule_weight,0.7,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5770,0.0955
mu1_rule_weight,0.8,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5407,0.0958
reputation_R_i,0.0,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.6476,0.0978
reputation_R_i,0.1,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.6327,0.0979
reputation_R_i,0.2,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.6177,0.0977
reputation_R_i,0.3,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.6028,0.0976
reputation_R_i,0.4,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5877,0.0987
reputation_R_i,0.5,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5727,0.0978
reputation_R_i,0.6,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5577,0.0978
reputation_R_i,0.7,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5427,0.0986
reputation_R_i,0.8,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5277,0.0978
reputation_R_i,0.9,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.5127,0.0986
reputation_R_i,1.0,100,100,0,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.4978,0.0981
attack_variant,DP-FR,39,100,0,61,0.4922,0.6950,0.3900,0.0000,0.0000,0.3960,0.0939
attack_variant,DP-IT,1,100,0,99,0.0709,0.5050,0.0100,0.0000,0.0000,0.2722,0.0936
attack_variant,DP-TS,4,100,0,96,0.1429,0.5200,0.0400,0.0000,0.0000,0.2822,0.0937
attack_variant,CP-FR,30,100,0,70,0.4201,0.6500,0.3000,0.0000,0.0000,0.3680,0.0984
attack_variant,CP-IT,2,100,0,98,0.1005,0.5100,0.0200,0.0000,0.0000,0.2768,0.1013
attack_variant,CP-TS,3,100,0,97,0.1234,0.5150,0.0300,0.0000,0.0000,0.2802,0.0983
